s,curvature,initial_pathTheta,terminal_pathTheta,x,y
0.61,1,0,0,0.5719609262862512,0.18321481651933333
0.62,1,0,0,0.5800997108528765,0.18902516812470638
0.63,1,0,0,0.588179985935998,0.19491661570412908
0.64,1,0,0,0.5962009435148409,0.200888570117753
0.65,1,0,0,0.6041617815003314,0.2069404341751134
0.66,1,0,0,0.612061703815305,0.21307160269484773
0.67,1,0,0,0.6198999204741135,0.21928146256521333
0.68,1,0,0,0.6276756476616228,0.22556939280539803
0.6900000000000001,1,0,0,0.6353881078115938,0.23193476462761772
0.7000000000000001,1,0,0,0.6430365296844387,0.23837694149999464
0.71,1,0,0,0.6506201484443437,0.24489527921020993
0.72,1,0,0,0.6581382057357527,0.2514891259299247
0.73,1,0,0,0.6655899497592014,0.25815782227996165
0.74,1,0,0,0.6729746353464973,0.2649007013962431
0.75,1,0,0,0.6802915240352355,0.27171708899647645
0.76,1,0,0,0.6875398841426446,0.27860630344758197
0.77,1,0,0,0.694718990838754,0.28556765583385557
0.78,1,0,0,0.7018281262188768,0.29260045002585966
0.79,1,0,0,0.7088665793753992,0.29970398275003574
0.8,1,0,0,0.7158336464688708,0.30687754365903097
0.81,1,0,0,0.7227286307983883,0.3141204154027324
0.8200000000000001,1,0,0,0.7295508428712645,0.32143187370000137
0.8300000000000001,1,0,0,0.7362996004719772,0.328811187411101
0.84,1,0,0,0.7429742287303902,0.3362576186108095
0.85,1,0,0,0.74957406018924,0.3437704226622124
0.86,1,0,0,0.7560984348708806,0.3513488482911652
0.87,1,0,0,0.7625467003432806,0.35899213766142024
0.88,1,0,0,0.7689182117852664,0.36669952645040993
0.89,1,0,0,0.7752123320510034,0.3744702439256782
0.9,1,0,0,0.78142843173371,0.38230351302195303
0.91,1,0,0,0.7875658892285982,0.39019855041885254
0.92,1,0,0,0.7936240907950328,0.3981545666192162
0.93,1,0,0,0.7996024306179058,0.406170766028054
0.9400000000000001,1,0,0,0.8055003108682168,0.41424634703210517
0.9500000000000001,1,0,0,0.8113171417628556,0.4223805020799989
0.96,1,0,0,0.8170523416235801,0.4305724177630088
0.97,1,0,0,0.8227053369351837,0.43882127489639333
0.98,1,0,0,0.8282755624028458,0.44712624860131306
0.99,1,0,0,0.8337624610086617,0.45548650838731825
1.0,1,0,0,0.8391654840673431,0.4639012182353972
1.01,1,0,0,0.8444840912810867,0.4723695366815774
1.02,1,0,0,0.8497177507936032,0.48089061690107104
1.03,1,0,0,0.8548659392433028,0.4894636067929571
1.04,1,0,0,0.8599281418156306,0.4980876490653905
1.05,1,0,0,0.8649038522945479,0.5067618813213307
1.06,1,0,0,0.8697925731131532,0.5154854361447806
1.07,1,0,0,0.8745938154034385,0.5242574411875274
1.08,1,0,0,0.8793070990451759,0.5330770192563768
1.09,1,0,0,0.8839319527139289,0.5419432884008717
1.1,1,0,0,0.8884679139281847,0.5508553620014861
1.11,1,0,0,0.8929145290956018,0.5598123488582866
1.12,1,0,0,0.8972713535583688,0.5688133532800517
1.1300000000000001,1,0,0,0.9015379516376705,0.5778574751738399
1.1400000000000001,1,0,0,0.9057138966772541,0.5869438101349987
1.1500000000000001,1,0,0,0.9097987710860956,0.5960714495376039
1.16,1,0,0,0.9137921663801583,0.6052394806253214
1.17,1,0,0,0.9176936832232405,0.6144469866026828
1.18,1,0,0,0.9215029314669093,0.6236930467267631
1.19,1,0,0,0.9252195301895146,0.6329767363992548
1.2,1,0,0,0.9288431077342814,0.6422971272589271
1.21,1,0,0,0.9323733017464747,0.6516532872744609
1.22,1,0,0,0.9358097592096352,0.6610442808376517
1.23,1,0,0,0.9391521364808801,0.6704691688569686
1.24,1,0,0,0.9424000993252679,0.679927008851464
1.25,1,0,0,0.9455533229492206,0.6894168550450198
1.26,1,0,0,0.9486114920330034,0.698937758460925
1.27,1,0,0,0.9515743007622566,0.7084887670167719
1.28,1,0,0,0.9544414528585762,0.7180689256196642
1.29,1,0,0,0.9572126616091418,0.727677276261725
1.3,1,0,0,0.9598876498953877,0.7373128581158969
1.31,1,0,0,0.9624661502207144,0.7469747076320242
1.32,1,0,0,0.9649479047372381,0.7566618586332069
1.33,1,0,0,0.9673326652715754,0.7663733424124174
1.34,1,0,0,0.96962019334966,0.7761081878293706
1.35,1,0,0,0.9718102602205904,0.7858654214076373
1.36,1,0,0,0.9739026468795046,0.7956440674319905
1.37,1,0,0,0.9758971440894803,0.8054431480459766
1.3800000000000001,1,0,0,0.9777935524024586,0.8152616833497002
1.3900000000000001,1,0,0,0.9795916821791886,0.8250986914978129
1.4000000000000001,1,0,0,0.981291353608191,0.8349531887976975
1.41,1,0,0,0.9828923967237393,0.8448241898078358
1.42,1,0,0,0.9843946514228562,0.854710707436353
1.43,1,0,0,0.9857979674813235,0.8646117530397248
1.44,1,0,0,0.987102204568705,0.8745263365216417
1.45,1,0,0,0.9883072322623787,0.8844534664320176
1.46,1,0,0,0.9894129300605794,0.894392150066134
1.47,1,0,0,0.9904191873944487,0.9043413935639099
1.48,1,0,0,0.9913259036390918,0.9143002020092863
1.49,1,0,0,0.9921329881236398,0.9242675795297177
1.5,1,0,0,0.9928403601403168,0.9342425293957582
1.51,1,0,0,0.9934479489525107,0.9442240541207337
1.52,1,0,0,0.9939556938018465,0.9542111555604895
1.53,1,0,0,0.9943635439142624,0.9642028350132043
1.54,1,0,0,0.9946714585050871,0.9741980933192591
1.55,1,0,0,0.994879406783118,0.9841959309611527
1.56,1,0,0,0.9949873679537007,0.9941953481634523
1.57,1,0,0,0.994995331220808,1.0041953449927707
1.58,1,0,0,0.9949032957881199,1.0141949214577581
1.59,1,0,0,0.9947112708591029,1.024193077609101
1.6,1,0,0,0.99441927563609,1.034188813639516
1.61,1,0,0,0.9940273393183602,1.04418112998373
1.62,1,0,0,0.9935355010992185,1.0541690274184352
