s,n,alpha,v,v_comm,delta
4.407097337783947,0.09999975381497175,-0.0658371053519019,0.5999998484201297,0.5999998479671413,0.1316740184395148
4.412360493667083,0.09999975333402183,-0.06583710565482201,0.5999998458180279,0.5999998453475679,0.1316740183237851
4.417623649526061,0.09999975285126615,-0.06583710595940025,0.5999998431111755,0.5999998426217765,0.13167401820731944
4.422886805359958,0.09999975236669455,-0.06583710626564898,0.5999998402822786,0.5999998397708141,0.1316740180901087
4.428149961167698,0.09999975188030122,-0.0658371065735454,0.5999998392944385,0.599999839115837,0.1316740179739155
4.433413116965425,0.09999975139206149,-0.06583710688321817,0.5999998382465482,0.5999998380570897,0.1316740178511479
4.438676272752607,0.09999975090196547,-0.06583710719467284,0.5999998371391425,0.5999998369389236,0.13167401772797435
4.443939428528718,0.09999975041000313,-0.0658371075079157,0.5999998359725428,0.5999998357616216,0.13167401760435643
4.449202584293232,0.09999974991616434,-0.06583710782295374,0.5999998347468283,0.5999998345252191,0.1316740174802596
4.454465740045627,0.09999974942043884,-0.06583710813979458,0.5999998334617794,0.5999998332294426,0.13167401735565
4.459728895785377,0.09999974892281624,-0.06583710845844647,0.5999998321167824,0.599999831873607,0.1316740172304968
4.464992051511949,0.09999974842328607,-0.06583710877891819,0.5999998307106608,0.599999830456434,0.1316740171047708
4.470255207224803,0.09999974792183773,-0.06583710910121907,0.599999829241368,0.5999998289757198,0.13167401697844577
4.47551836292338,0.09999974741846052,-0.06583710942535892,0.5999998277053863,0.5999998274276808,0.1316740168514956
4.480781518607089,0.0999997469131436,-0.06583710975134804,0.5999998260964364,0.5999998258055383,0.13167401672389564
4.486044674275285,0.09999974640587607,-0.06583711007919718,0.5999998244023074,0.5999998240960088,0.13167401659562275
4.491307829927215,0.09999974589664687,-0.06583711040891756,0.5999998225952706,0.5999998222685584,0.13167401646665192
4.496570985561883,0.09999974538543943,-0.06583711074056398,0.5999998207679162,0.5999998204375305,0.1316740163347992
4.501834141179105,0.0999997448722368,-0.06583711107419224,0.5999998190760994,0.599999818770219,0.1316740162000127
4.507097296780065,0.0999997443570285,-0.06583711140980404,0.599999817506628,0.5999998172228675,0.13167401606500279
4.512360452365831,0.09999974383980387,-0.06583711174740263,0.5999998160475932,0.5999998157837997,0.13167401592969125
4.517623607937366,0.09999974332055203,-0.06583711208699268,0.5999998146882422,0.5999998144424715,0.1316740157940052
4.522886763495538,0.09999974279926192,-0.06583711242858013,0.5999998134188631,0.5999998131893594,0.13167401565788026
4.52814991904113,0.09999974227592233,-0.06583711277217211,0.5999998122306824,0.5999998120158594,0.13167401552125813
4.533413074574851,0.09999974175052184,-0.06583711311777675,0.5999998111157725,0.5999998109141967,0.1316740153840849
4.5386762300973365,0.0999997412230489,-0.06583711346540318,0.5999998100669685,0.5999998098773447,0.13167401524631242
4.5439393856091606,0.0999997406934918,-0.06583711381506134,0.5999998090777939,0.5999998088989512,0.13167401510789697
4.549202541110841,0.09999974016183866,-0.065837114166762,0.5999998081423938,0.5999998079732736,0.13167401496879774
4.554465696602843,0.09999973962807747,-0.06583711452051662,0.5999998072554742,0.5999998070951191,0.13167401482897814
4.559728852085588,0.09999973909219607,-0.06583711487633734,0.5999998064122473,0.5999998062597919,0.1316740146884047
4.56499200755945,0.09999973855418218,-0.06583711523423688,0.5999998056083831,0.5999998054630444,0.13167401454704622
4.570255163024771,0.09999973801402336,-0.06583711559422853,0.5999998048399647,0.5999998047010346,0.1316740144048744
4.575518318481855,0.09999973747170705,-0.06583711595632608,0.599999804103449,0.599999803970287,0.13167401426186295
4.580781473930976,0.09999973692722057,-0.06583711632054379,0.5999998033956301,0.5999998032676565,0.13167401411798613
4.58604462937238,0.09999973638055108,-0.06583711668689637,0.5999998027136071,0.5999998025902974,0.13167401397322215
4.591307784806287,0.09999973583168566,-0.06583711705539892,0.5999998020547552,0.5999998019356348,0.13167401382754995
4.596570940232894,0.09999973528061121,-0.06583711742606697,0.5999998014166982,0.5999998013013375,0.13167401368094703
4.601834095652378,0.09999973472731455,-0.06583711779891639,0.5999998007972853,0.5999998006852955,0.13167401353339622
4.6070972510648955,0.09999973417178235,-0.06583711817396337,0.5999998001945703,0.5999998000855995,0.13167401338487927
4.612360406470588,0.09999973361400116,-0.06583711855122443,0.5999997996067911,0.5999997995005206,0.13167401323537972
4.6176235618695785,0.09999973305395743,-0.06583711893071638,0.5999997990323523,0.5999997989284939,0.13167401308488133
4.622886717261979,0.09999973249163746,-0.06583711931245634,0.5999997984698096,0.5999997983681018,0.1316740129333683
4.628149872647887,0.09999973192702744,-0.06583711969646171,0.5999997979178544,0.5999997978180609,0.1316740127808254
4.633413028027389,0.09999973136011342,-0.06583712008275015,0.5999997973753021,0.5999997972772086,0.13167401262723863
4.638676183400562,0.09999973079088134,-0.06583712047133959,0.5999997968410793,0.5999997967444918,0.13167401247259405
4.6439393387674714,0.09999973021931703,-0.06583712086224817,0.5999997963142136,0.5999997962189564,0.13167401231687872
4.649202494128176,0.09999972964540618,-0.06583712125549433,0.5999997957938242,0.5999997956997378,0.13167401216007849
4.654465649482726,0.09999972906913436,-0.0658371216510967,0.5999997952791127,0.5999997951860528,0.13167401200218085
4.659728804831166,0.09999972849048701,-0.06583712204907419,0.5999997947693553,0.5999997946771911,0.13167401184317304
4.66499196017353,0.09999972790944944,-0.06583712244944588,0.5999997942638958,0.5999997941725087,0.13167401168304307
4.670255115509851,0.09999972732600686,-0.06583712285223112,0.5999997937621394,0.5999997936714219,0.13167401152177804
4.675518270840154,0.09999972674014432,-0.06583712325744948,0.5999997932635465,0.5999997931734009,0.13167401135936568
4.680781426164462,0.09999972615184675,-0.06583712366512072,0.5999997927676276,0.5999997926779654,0.13167401119579455
4.686044581482789,0.09999972556109898,-0.06583712407526486,0.5999997922739385,0.5999997921846796,0.13167401103105228
4.6913077367951495,0.09999972496788569,-0.0658371244879021,0.5999997917820761,0.5999997916931473,0.13167401086512678
4.696570892101552,0.0999997243721914,-0.0658371249030529,0.599999791291674,0.5999997912030093,0.13167401069800602
4.701834047402002,0.09999972377400054,-0.06583712532073788,0.5999997908023997,0.5999997907139389,0.1316740105296784
4.707097202696504,0.09999972317329739,-0.06583712574097794,0.599999790313951,0.5999997902256394,0.13167401036013163
4.712360357985057,0.09999972257006105,-0.06583712616383434,0.5999997899319445,0.5999997898628777,0.1316740101873399
4.717623513268588,0.09999972196427447,-0.06583712658933548,0.5999997896642414,0.5999997896158407,0.13167401001295054
4.722886668548093,0.09999972135592188,-0.06583712701749796,0.5999997894923431,0.5999997894612639,0.13167400983755118
4.728149823824404,0.09999972074498736,-0.06583712744833908,0.5999997894023178,0.5999997893860413,0.13167400966110693
4.733412979098234,0.09999972013145485,-0.06583712788187676,0.5999997893833251,0.5999997893798912,0.13167400948358582
4.7386761343701975,0.09999971951530807,-0.06583712831812955,0.5999997894267033,0.599999789434546,0.1316740093049554
4.743939289640835,0.09999971889653061,-0.06583712875711653,0.5999997895253815,0.5999997895432225,0.13167400912518618
4.749202444910623,0.09999971827510587,-0.06583712919885737,0.5999997896734862,0.5999997897002636,0.1316740089442495
4.75446560017999,0.0999997176510171,-0.06583712964337225,0.5999997898660686,0.5999997899008875,0.13167400876211793
4.759728755449316,0.09999971702424737,-0.06583713009068186,0.5999997900989098,0.5999997901410075,0.1316740085787653
4.764991910718949,0.0999997163947796,-0.06583713054080732,0.599999790368378,0.599999790417098,0.1316740083941672
4.770255065989202,0.09999971576259653,-0.06583713099377028,0.5999997906713213,0.5999997907260933,0.13167400820829803
4.775518221260362,0.09999971512768074,-0.06583713144959279,0.5999997910049841,0.5999997910653103,0.13167400802113471
4.78078137653269,0.09999971449001464,-0.06583713190829733,0.5999997913669437,0.599999791432386,0.13167400783265498
4.786044531806426,0.09999971384958047,-0.06583713236990682,0.5999997917550578,0.5999997918252289,0.1316740076428371
4.791307687081793,0.09999971320636031,-0.06583713283444456,0.5999997921674235,0.5999997922419792,0.13167400745165914
4.796570842358995,0.09999971256033606,-0.06583713330193425,0.5999997926023425,0.5999997926809758,0.13167400725910033
4.801833997638223,0.09999971191148946,-0.06583713377239996,0.5999997930582932,0.5999997931407292,0.13167400706514046
4.807097152919653,0.09999971125980209,-0.06583713424586614,0.5999997935339073,0.5999997936198983,0.13167400686975936
4.812360308203449,0.09999971060525532,-0.06583713472235762,0.5999997940279493,0.5999997941172721,0.13167400667293688
4.817623463489767,0.0999997099478304,-0.0658371352018996,0.5999997945392999,0.599999794631752,0.13167400647465427
4.822886618778749,0.09999970928750836,-0.06583713568451759,0.5999997950669408,0.5999997951623383,0.13167400627489248
4.82814977407053,0.09999970862427007,-0.06583713617023748,0.5999997956099429,0.5999997957081177,0.1316740060736325
4.833412929365237,0.09999970795809625,-0.06583713665908551,0.5999997961674549,0.5999997962682531,0.1316740058708555
4.838676084662989,0.0999997072889674,-0.06583713715108827,0.5999997967386939,0.5999997968419738,0.1316740056665427
4.843939239963898,0.09999970661686387,-0.06583713764627266,0.5999997973229367,0.5999997974285678,0.13167400546067645
4.849202395268071,0.09999970594176583,-0.06583713814466596,0.5999997979195131,0.5999997980273741,0.131674005253237
4.854465550575607,0.09999970526365325,-0.06583713864629577,0.5999997985277989,0.599999798637777,0.13167400504420707
4.859728705886599,0.09999970458250591,-0.06583713915119002,0.5999997991472105,0.5999997992592001,0.13167400483356767
4.864991861201139,0.09999970389830344,-0.06583713965937699,0.5999997997771994,0.5999997998911014,0.13167400462130116
4.870255016519309,0.09999970321102526,-0.06583714017088528,0.5999998004172482,0.5999998005329691,0.13167400440738866
4.87551817184119,0.0999997025206506,-0.06583714068574387,0.5999998010668662,0.5999998011843172,0.13167400419181197
